主题,总题数,正确回答数,正确率 (%)
professional_accounting,175,140,80.0
legal_and_moral_basis,214,201,93.93
professional_law,211,125,59.24
elementary_commonsense,198,143,72.22
conceptual_physics,147,116,78.91
anatomy,148,108,72.97
human_sexuality,126,77,61.11
high_school_politics,143,106,74.13
high_school_mathematics,164,55,33.54
professional_medicine,376,211,56.12
philosophy,105,71,67.62
management,210,166,79.05
astronomy,165,69,41.82
public_relations,174,116,66.67
electrical_engineering,172,115,66.86
business_ethics,209,129,61.72
high_school_geography,118,81,68.64
construction_project_management,139,77,55.4
high_school_biology,169,105,62.13
chinese_teacher_qualification,179,153,85.47
security_study,135,105,77.78
genetics,176,98,55.68
international_law,185,103,55.68
economics,159,105,66.04
world_religions,160,114,71.25
college_mathematics,105,36,34.29
college_education,107,85,79.44
global_facts,149,100,67.11
college_medical_statistics,106,59,55.66
machine_learning,122,72,59.02
logical,123,69,56.1
marketing,180,128,71.11
high_school_chemistry,132,95,71.97
clinical_knowledge,237,151,63.71
college_law,108,57,52.78
college_actuarial_science,106,32,30.19
food_science,143,92,64.34
arts,160,139,86.88
college_engineering_hydrology,106,57,53.77
elementary_information_and_technology,238,194,81.51
journalism,172,115,66.86
high_school_physics,110,56,50.91
chinese_foreign_policy,107,77,71.96
elementary_mathematics,230,94,40.87
world_history,161,120,74.53
sports_science,165,101,61.21
virology,169,119,70.41
education,163,121,74.23
chinese_driving_rule,131,113,86.26
nutrition,145,94,64.83
professional_psychology,232,175,75.43
college_medicine,273,186,68.13
marxist_theory,189,172,91.01
jurisprudence,411,285,69.34
sociology,226,149,65.93
agronomy,169,97,57.4
computer_security,171,140,81.87
computer_science,204,128,62.75
