主题,总题数,正确回答数,正确率 (%)
professional_accounting,175,156,89.14
legal_and_moral_basis,214,204,95.33
professional_law,211,140,66.35
elementary_commonsense,198,161,81.31
conceptual_physics,147,128,87.07
anatomy,148,121,81.76
human_sexuality,126,94,74.6
high_school_politics,143,110,76.92
high_school_mathematics,164,63,38.41
professional_medicine,376,270,71.81
philosophy,105,94,89.52
management,210,192,91.43
astronomy,165,90,54.55
public_relations,174,135,77.59
electrical_engineering,172,138,80.23
business_ethics,209,130,62.2
high_school_geography,118,69,58.47
construction_project_management,139,88,63.31
high_school_biology,169,104,61.54
chinese_teacher_qualification,179,165,92.18
security_study,135,117,86.67
genetics,176,115,65.34
international_law,185,154,83.24
economics,159,131,82.39
world_religions,160,118,73.75
college_mathematics,105,34,32.38
college_education,107,91,85.05
global_facts,149,122,81.88
college_medical_statistics,106,66,62.26
machine_learning,122,88,72.13
logical,123,97,78.86
marketing,180,162,90.0
high_school_chemistry,132,77,58.33
clinical_knowledge,237,174,73.42
college_law,108,73,67.59
college_actuarial_science,106,39,36.79
food_science,143,99,69.23
arts,160,155,96.88
college_engineering_hydrology,106,88,83.02
elementary_information_and_technology,238,202,84.87
journalism,172,139,80.81
high_school_physics,110,57,51.82
chinese_foreign_policy,107,95,88.79
elementary_mathematics,230,94,40.87
world_history,161,145,90.06
sports_science,165,117,70.91
virology,169,150,88.76
education,163,126,77.3
chinese_driving_rule,131,122,93.13
nutrition,145,122,84.14
professional_psychology,232,197,84.91
college_medicine,273,233,85.35
marxist_theory,189,178,94.18
jurisprudence,411,334,81.27
sociology,226,188,83.19
agronomy,169,122,72.19
computer_security,171,155,90.64
computer_science,204,130,63.73
